ip;port;botnet
1.234.2.232;8080;Epoch4
1.234.21.73;7080;Epoch4
1.234.65.61;7080;Epoch5
101.50.0.91;8080;Epoch4
103.132.242.26;8080;Epoch4
103.133.214.242;8080;Epoch5
103.134.85.85;80;Epoch4
103.221.221.164;8080;Epoch4
103.221.221.247;8080;Epoch4
103.253.145.28;8080;Epoch5
103.30.145.119;8080;Epoch5
103.41.204.169;8080;Epoch5
103.42.57.17;8080;Epoch5
103.42.58.120;7080;Epoch5
103.43.46.182;443;Epoch4
103.44.138.22;443;Epoch5
103.56.149.105;8080;Epoch5
103.70.28.102;8080;Epoch4
103.75.201.2;443;Epoch4
103.75.201.4;443;Epoch4
103.8.26.102;8080;Epoch4
103.8.26.103;8080;Epoch4
103.82.248.59;7080;Epoch5
103.85.160.5;443;Epoch4
103.85.160.5;8080;Epoch4
104.131.11.205;443;Epoch4
104.131.62.48;8080;Epoch5
104.168.154.79;8080;Epoch4
104.168.155.129;8080;Epoch4
104.245.52.73;8080;Epoch4
104.251.214.46;8080;Epoch4
104.251.215.148;7080;Epoch4
107.182.225.142;8080;Epoch4
109.160.96.230;4143;Epoch4
109.160.96.230;8080;Epoch4
110.232.117.186;8080;Epoch4
110.235.83.107;7080;Epoch5
114.79.130.68;443;Epoch5
114.79.130.68;8080;Epoch5
116.124.128.206;8080;Epoch5
116.125.120.88;443;Epoch5
118.98.72.86;443;Epoch5
119.193.124.41;7080;Epoch4
119.235.255.201;8080;Epoch4
119.59.125.140;8080;Epoch5
119.59.98.59;8080;Epoch4
120.50.40.183;80;Epoch4
121.78.112.42;8080;Epoch5
122.129.203.163;443;Epoch5
128.199.192.135;8080;Epoch5
128.199.93.156;8080;Epoch5
129.232.188.93;443;Epoch4
131.100.24.199;7080;Epoch4
131.100.24.199;8080;Epoch4
131.100.24.231;80;Epoch4
134.122.66.193;8080;Epoch4
134.195.212.50;7080;Epoch4
134.209.240.102;8080;Epoch4
135.148.121.246;8080;Epoch4
136.243.32.168;443;Epoch4
138.185.72.26;8080;Epoch4
138.197.109.175;8080;Epoch4
138.197.147.101;443;Epoch4
138.197.64.211;8080;Epoch5
138.197.90.158;8080;Epoch4
138.201.142.73;8080;Epoch4
139.180.205.161;443;Epoch4
139.196.72.155;8080;Epoch5
139.59.44.48;8080;Epoch5
139.59.60.88;443;Epoch4
142.4.219.173;8080;Epoch5
142.93.76.76;7080;Epoch5
144.217.88.125;443;Epoch4
144.217.91.150;443;Epoch4
144.76.186.49;8080;Epoch4
144.76.186.55;7080;Epoch4
146.59.226.45;443;Epoch4
147.139.134.226;443;Epoch4
149.202.179.100;443;Epoch4
149.56.128.192;443;Epoch4
149.56.131.28;8080;Epoch4
149.56.163.161;8080;Epoch4
150.95.20.209;8080;Epoch5
151.106.112.196;8080;Epoch4
151.106.39.36;8080;Epoch4
152.89.239.34;443;Epoch4
153.126.146.25;7080;Epoch4
153.126.203.229;8080;Epoch4
156.67.219.84;7080;Epoch4
158.69.222.101;443;Epoch4
159.203.141.156;8080;Epoch4
159.65.1.71;8080;Epoch4
159.65.163.220;443;Epoch5
159.65.88.10;8080;Epoch4
159.69.237.188;443;Epoch5
159.69.43.124;8080;Epoch5
159.8.59.82;8080;Epoch4
159.89.230.105;443;Epoch4
160.16.102.168;80;Epoch4
160.16.142.56;8080;Epoch4
160.16.218.63;8080;Epoch4
162.144.76.184;8080;Epoch5
162.214.118.104;8080;Epoch4
162.214.50.39;7080;Epoch4
162.241.79.26;8080;Epoch4
162.243.175.63;443;Epoch4
162.244.80.68;443;Epoch4
164.52.194.45;8080;Epoch5
164.68.99.3;8080;Epoch4
165.22.211.113;8080;Epoch4
165.22.246.219;8080;Epoch5
165.22.61.235;443;Epoch5
167.172.253.162;8080;Epoch4
167.99.115.35;8080;Epoch4
167.99.127.67;8080;Epoch4
168.119.39.118;443;Epoch5
168.197.250.14;80;Epoch5
168.235.104.209;8080;Epoch4
169.197.131.16;8080;Epoch4
172.104.22.23;8080;Epoch4
172.104.227.98;443;Epoch4
172.104.251.154;8080;Epoch4
172.105.115.71;443;Epoch5
173.203.78.138;443;Epoch5
173.212.193.249;8080;Epoch4
173.214.173.220;8080;Epoch4
173.254.208.91;8080;Epoch4
174.136.15.27;8080;Epoch5
175.107.196.192;80;Epoch4
175.126.176.79;8080;Epoch5
176.104.106.96;8080;Epoch4
176.31.163.17;8080;Epoch4
176.31.73.90;443;Epoch4
176.56.128.118;443;Epoch4
177.72.80.14;7080;Epoch5
177.87.70.10;8080;Epoch4
178.128.82.218;443;Epoch4
178.128.83.165;80;Epoch4
178.62.112.199;8080;Epoch5
178.63.25.185;443;Epoch4
178.79.147.66;8080;Epoch4
180.250.21.2;443;Epoch5
181.57.137.115;8080;Epoch4
183.111.227.137;8080;Epoch4
185.122.58.89;443;Epoch5
185.148.168.15;8080;Epoch5
185.148.168.220;8080;Epoch5
185.148.169.10;8080;Epoch5
185.157.82.209;8080;Epoch4
185.157.82.211;8080;Epoch4
185.168.130.138;443;Epoch5
185.184.25.234;8081;Epoch5
185.184.25.237;8080;Epoch4
185.184.25.78;8080;Epoch5
185.244.166.137;443;Epoch5
185.244.166.137;8080;Epoch5
185.248.140.40;443;Epoch4
185.4.135.165;8080;Epoch4
185.4.135.27;8080;Epoch4
185.8.212.130;7080;Epoch4
186.250.48.117;7080;Epoch4
186.250.48.5;80;Epoch5
187.84.80.182;443;Epoch4
188.165.214.166;7080;Epoch4
188.166.229.148;443;Epoch5
188.40.137.206;8080;Epoch4
188.44.20.25;443;Epoch4
188.93.125.116;8080;Epoch4
189.126.111.200;7080;Epoch4
189.232.46.161;443;Epoch4
190.90.233.66;443;Epoch5
191.252.103.16;80;Epoch5
191.252.196.221;8080;Epoch4
192.254.71.210;443;Epoch4
192.95.56.148;8080;Epoch4
192.99.251.50;443;Epoch4
194.9.172.107;8080;Epoch5
195.154.133.20;443;Epoch4
195.154.146.35;443;Epoch5
195.154.253.60;8080;Epoch4
195.201.151.129;8080;Epoch4
195.77.239.39;8080;Epoch5
196.218.30.83;443;Epoch4
196.44.98.190;8080;Epoch5
197.242.150.244;8080;Epoch4
198.199.126.144;443;Epoch5
198.199.98.78;8080;Epoch5
198.211.51.201;8080;Epoch4
198.27.67.35;8080;Epoch5
2.58.16.87;8080;Epoch5
200.17.134.35;7080;Epoch4
201.94.166.162;443;Epoch4
202.134.4.210;7080;Epoch5
202.28.34.99;8080;Epoch5
202.29.239.161;443;Epoch5
202.29.239.162;443;Epoch5
203.114.109.124;443;Epoch4
203.153.216.46;443;Epoch5
206.188.212.92;8080;Epoch4
206.189.28.199;8080;Epoch4
207.148.81.119;8080;Epoch5
207.38.84.195;8080;Epoch4
207.99.27.28;8080;Epoch4
209.126.98.206;8080;Epoch4
209.15.236.39;8080;Epoch4
209.239.112.82;8080;Epoch5
209.250.246.206;443;Epoch4
209.59.138.75;7080;Epoch4
209.97.163.214;443;Epoch4
210.57.209.142;8080;Epoch5
210.57.217.132;8080;Epoch4
212.237.17.99;8080;Epoch4
212.237.5.209;443;Epoch4
212.237.56.116;7080;Epoch4
212.24.98.99;8080;Epoch4
213.190.4.223;7080;Epoch4
213.32.75.32;8080;Epoch4
216.10.251.121;8080;Epoch5
216.120.236.62;8080;Epoch4
216.158.226.206;443;Epoch4
217.160.107.189;8080;Epoch4
217.182.143.207;443;Epoch4
217.182.143.207;443;Epoch5
217.182.143.248;8080;Epoch4
217.182.25.250;8080;Epoch4
217.182.78.224;443;Epoch4
217.79.180.211;8080;Epoch4
23.246.204.126;443;Epoch4
24.152.37.138;443;Epoch4
27.254.174.84;8080;Epoch5
27.54.89.58;8080;Epoch4
31.207.89.74;8080;Epoch4
31.24.158.56;8080;Epoch4
36.67.23.59;443;Epoch5
37.247.35.132;8080;Epoch4
37.44.244.177;8080;Epoch5
37.59.209.141;8080;Epoch5
41.76.108.46;8080;Epoch4
45.118.115.99;8080;Epoch4
45.118.135.203;7080;Epoch4
45.13.132.26;8080;Epoch5
45.138.98.34;80;Epoch5
45.142.114.231;8080;Epoch4
45.15.23.184;443;Epoch4
45.176.232.124;443;Epoch4
45.176.232.125;443;Epoch4
45.184.36.10;8080;Epoch4
45.235.8.30;8080;Epoch4
45.55.63.166;8080;Epoch4
45.63.5.129;443;Epoch5
45.71.195.104;8080;Epoch5
45.76.1.145;443;Epoch4
45.76.159.214;8080;Epoch4
45.76.176.10;8080;Epoch4
45.79.173.200;443;Epoch4
45.79.33.48;8080;Epoch5
45.79.80.198;443;Epoch5
45.80.148.200;443;Epoch4
46.41.130.218;8080;Epoch5
46.55.222.11;443;Epoch4
47.110.149.223;7080;Epoch4
47.110.149.223;8080;Epoch4
49.231.16.102;8080;Epoch4
5.189.160.61;443;Epoch5
5.56.132.177;8080;Epoch5
5.9.116.246;8080;Epoch4
50.116.19.225;8080;Epoch4
50.116.54.215;443;Epoch4
50.30.40.196;8080;Epoch4
51.15.4.22;443;Epoch4
51.178.186.134;443;Epoch4
51.178.61.60;443;Epoch5
51.210.176.76;443;Epoch4
51.210.242.234;8080;Epoch5
51.254.140.238;7080;Epoch4
51.38.71.0;443;Epoch4
51.68.141.164;8080;Epoch5
51.68.175.8;8080;Epoch4
51.75.33.122;443;Epoch5
51.77.82.125;443;Epoch4
51.79.205.117;8080;Epoch4
51.91.142.158;80;Epoch4
51.91.7.5;8080;Epoch4
51.91.76.89;8080;Epoch4
54.36.185.63;443;Epoch5
54.36.98.59;7080;Epoch4
54.37.106.167;8080;Epoch5
54.37.212.235;80;Epoch4
54.37.228.122;443;Epoch5
54.37.70.105;8080;Epoch4
54.38.143.246;7080;Epoch5
54.38.242.185;443;Epoch5
58.227.42.236;80;Epoch4
59.148.253.194;443;Epoch5
61.7.231.226;443;Epoch5
61.7.231.229;443;Epoch5
62.141.45.103;443;Epoch5
62.171.178.147;8080;Epoch5
62.75.251.60;8080;Epoch4
66.42.55.5;7080;Epoch4
66.42.57.149;443;Epoch5
67.205.162.68;8080;Epoch4
68.183.62.61;8080;Epoch5
68.183.84.74;8080;Epoch4
68.183.91.111;8080;Epoch5
68.183.93.250;443;Epoch5
68.183.94.239;80;Epoch4
69.16.218.101;8080;Epoch5
69.197.160.180;8080;Epoch4
70.36.102.35;443;Epoch4
72.15.201.15;8080;Epoch4
74.207.230.120;8080;Epoch5
74.63.218.139;443;Epoch4
77.81.247.144;8080;Epoch4
78.31.66.214;443;Epoch4
78.46.73.125;443;Epoch5
78.47.204.80;443;Epoch5
79.137.35.198;8080;Epoch4
79.143.186.143;8080;Epoch4
79.143.187.147;443;Epoch4
79.172.212.216;8080;Epoch4
8.9.11.48;443;Epoch4
80.211.107.116;8080;Epoch5
80.211.3.13;8080;Epoch4
80.241.218.90;8080;Epoch4
81.0.236.90;443;Epoch4
81.0.236.93;443;Epoch4
82.165.145.100;8080;Epoch4
82.165.152.127;8080;Epoch4
85.214.67.203;8080;Epoch5
85.214.93.93;8080;Epoch5
85.25.120.45;8080;Epoch5
87.106.97.83;7080;Epoch5
88.217.172.165;8080;Epoch5
89.32.148.223;443;Epoch4
91.200.186.228;443;Epoch4
91.207.181.106;8080;Epoch4
91.207.28.33;8080;Epoch4
92.240.254.110;8080;Epoch4
93.104.208.37;8080;Epoch5
93.104.209.107;8080;Epoch5
93.104.209.56;8080;Epoch4
94.177.178.26;8080;Epoch5
94.177.248.64;443;Epoch4
94.23.45.86;4143;Epoch4
94.23.45.86;4143;Epoch5
94.23.45.86;8082;Epoch5
96.125.171.165;4143;Epoch4
